application_id,applicant_country,visa_type,submission_date,decision_date,processing_time_days,processing_center,decision,season,application_year
A00522,Saudi Arabia,Skilled Migration,2023-04-28,2023-06-30,63,Berlin,Rejected,Spring,2023
A00738,Pakistan,Tourist,2022-10-04,2022-10-25,21,Delhi,Approved,Autumn,2022
A00741,Kenya,Employment,2024-11-06,2025-01-28,83,Sydney,Approved,Autumn,2024
A00661,Bangladesh,Visit,2024-09-13,2024-09-28,15,Berlin,Approved,Autumn,2024
A00412,United Kingdom,Skilled Migration,2024-05-09,2025-02-07,274,Singapore,Approved,Spring,2024
A00679,Canada,Business,2023-09-07,2023-10-16,39,Singapore,Approved,Autumn,2023
A00627,Nepal,Student,2022-01-26,2022-03-13,46,Berlin,Approved,Winter,2022
A00514,France,Student,2024-03-05,2024-05-07,63,Singapore,Rejected,Spring,2024
A00860,United States,Tourist,2024-11-02,2024-11-22,20,Delhi,Approved,Autumn,2024
A00137,France,Visit,2021-10-02,2021-10-23,21,Delhi,Approved,Autumn,2021
A00812,Kenya,Tourist,2023-07-01,2023-07-19,18,Delhi,Approved,Summer,2023
A00077,Nigeria,Visit,2023-03-19,2023-04-15,27,Singapore,Rejected,Spring,2023
A00637,Brazil,Work,2023-03-15,2023-06-19,96,Singapore,Approved,Spring,2023
A00974,Brazil,Employment,2022-03-03,2022-06-04,93,Berlin,Approved,Spring,2022
A00939,Sri Lanka,Permanent Residency,2023-03-04,2023-07-29,147,Ottawa,Approved,Spring,2023
A00900,South Africa,Permanent Residency,2021-05-29,,,London,Pending,Spring,2021
A00281,Brazil,Permanent Residency,2023-10-03,2024-04-09,189,New York,Approved,Autumn,2023
A00884,Germany,Business,2021-08-29,2021-10-18,50,Delhi,Approved,Summer,2021
A00762,Nigeria,Skilled Migration,2022-11-25,2023-04-28,154,Berlin,Approved,Autumn,2022
A00320,South Africa,Visit,2024-11-12,2024-11-22,10,Berlin,Approved,Autumn,2024
A00550,China,Permanent Residency,2021-10-31,2021-12-17,47,London,Approved,Autumn,2021
A00175,United States,Employment,2021-05-29,2021-07-22,54,New York,Rejected,Spring,2021
A00372,Nigeria,Business,2021-05-25,2021-06-18,24,New York,Approved,Spring,2021
A00528,Bangladesh,Employment,2022-12-24,2023-03-17,83,London,Approved,Winter,2022
A00211,Kenya,Skilled Migration,2021-09-29,2022-03-04,156,Delhi,Rejected,Autumn,2021
A00236,Sri Lanka,Work,2021-01-26,2021-03-28,61,Sydney,Approved,Winter,2021
A00102,China,Skilled Migration,2021-07-26,2021-12-11,138,Berlin,Approved,Summer,2021
A00987,Canada,Business,2023-06-14,2023-07-14,30,Singapore,Approved,Summer,2023
A00903,Canada,Employment,2021-01-28,2021-05-13,105,Sydney,Approved,Winter,2021
A00948,China,Business,2021-08-29,2021-10-05,37,Singapore,Approved,Summer,2021
A00347,Philippines,Permanent Residency,2021-04-27,2021-10-27,183,New York,Approved,Spring,2021
A00140,South Africa,Work,2022-07-18,2022-10-13,87,Delhi,Approved,Summer,2022
A00622,Kenya,Business,2023-03-30,2023-04-23,24,Ottawa,Approved,Spring,2023
A00500,United States,Visit,2023-12-31,2024-01-18,18,Berlin,Rejected,Winter,2023
A00371,Turkey,Business,2021-12-25,2022-01-05,11,Abu Dhabi,Rejected,Winter,2021
A00199,Germany,Business,2022-06-15,2022-06-28,13,London,Rejected,Summer,2022
A00688,Brazil,Student,2022-02-09,2022-04-23,73,London,Approved,Winter,2022
A00585,Nepal,Student,2023-11-02,2024-01-09,68,Ottawa,Rejected,Autumn,2023
A00902,United States,Business,2022-01-29,2022-03-07,37,Singapore,Approved,Winter,2022
A00060,Pakistan,Skilled Migration,2021-05-07,2021-07-27,81,Sydney,Approved,Spring,2021
A00329,Kenya,Work,2021-09-02,,,Abu Dhabi,Pending,Autumn,2021
A00097,Philippines,Work,2022-09-02,2022-11-19,78,Berlin,Approved,Autumn,2022
A00313,Nepal,Work,2024-02-08,2024-04-25,77,Delhi,Approved,Winter,2024
A00975,India,Student,2024-08-03,,,Sydney,Pending,Summer,2024
A00300,United Kingdom,Work,2024-03-09,2024-04-28,50,Sydney,Approved,Spring,2024
A00278,Canada,Student,2022-01-26,2022-03-29,62,Berlin,Approved,Winter,2022
A00925,Saudi Arabia,Visit,2023-08-29,2023-09-30,32,Sydney,Rejected,Summer,2023
A00602,Pakistan,Business,2022-03-22,2022-05-03,42,Abu Dhabi,Approved,Spring,2022
A00440,United Kingdom,Work,2024-03-27,2024-06-19,84,Abu Dhabi,Approved,Spring,2024
A00838,United Kingdom,Employment,2023-08-22,2023-11-15,85,Ottawa,Approved,Summer,2023
A00571,Germany,Business,2022-04-12,2022-05-17,35,Singapore,Approved,Spring,2022
A00880,South Africa,Work,2021-08-10,2021-10-15,66,New York,Approved,Summer,2021
A00262,Nigeria,Visit,2021-04-29,2021-05-22,23,Delhi,Approved,Spring,2021
A00579,Germany,Visit,2023-03-22,2023-04-10,19,London,Approved,Spring,2023
A00024,Canada,Business,2021-02-08,2021-03-23,43,Sydney,Approved,Winter,2021
A00031,United States,Visit,2024-05-15,2024-06-07,23,Singapore,Approved,Spring,2024
A00618,United States,Skilled Migration,2024-02-23,2024-05-18,85,Abu Dhabi,Approved,Winter,2024
A00011,Saudi Arabia,Business,2024-01-20,2024-02-19,30,Sydney,Approved,Winter,2024
A00222,Nigeria,Skilled Migration,2022-02-16,2022-06-22,126,Abu Dhabi,Approved,Winter,2022
A00821,China,Permanent Residency,2024-07-15,,,Ottawa,Pending,Summer,2024
A00297,United States,Tourist,2022-08-01,2022-08-15,14,Singapore,Approved,Summer,2022
A00055,Sri Lanka,Business,2023-03-16,2023-03-30,14,Abu Dhabi,Approved,Spring,2023
A00543,Saudi Arabia,Visit,2022-07-21,2022-08-11,21,London,Approved,Summer,2022
A00210,Nepal,Visit,2021-09-05,2021-10-05,30,Delhi,Approved,Autumn,2021
A00605,United Kingdom,Tourist,2021-01-13,2021-01-26,13,Abu Dhabi,Rejected,Winter,2021
A00693,United States,Tourist,2024-03-23,2024-04-17,25,Delhi,Rejected,Spring,2024
A00663,Sri Lanka,Business,2021-02-21,2021-03-19,26,New York,Rejected,Winter,2021
A00867,France,Permanent Residency,2024-05-31,2024-12-06,189,Abu Dhabi,Approved,Spring,2024
A00071,Turkey,Tourist,2022-08-27,2022-09-17,21,Delhi,Approved,Summer,2022
A00544,UAE,Skilled Migration,2022-10-13,2023-02-11,121,Singapore,Approved,Autumn,2022
A00108,Turkey,Employment,2022-02-26,2022-06-10,104,London,Rejected,Winter,2022
A00494,Philippines,Work,2023-01-20,2023-03-21,60,New York,Approved,Winter,2023
A00591,Nepal,Skilled Migration,2024-06-14,2024-11-04,143,London,Approved,Summer,2024
A00742,Kenya,Visit,2021-01-01,2021-01-09,8,New York,Rejected,Winter,2021
A00293,Germany,Work,2023-12-12,2024-03-24,103,Ottawa,Approved,Winter,2023
A00290,Nigeria,Skilled Migration,2023-10-27,2024-03-12,137,Sydney,Approved,Autumn,2023
A00653,South Africa,Student,2024-01-04,2024-03-13,69,Abu Dhabi,Approved,Winter,2024
A00040,France,Permanent Residency,2023-02-06,2023-08-01,176,London,Approved,Winter,2023
