decision,application_year,processing_time_days_clean,submission_month,submission_dayofweek,submission_quarter,decision_binary,applicant_country_Bangladesh,applicant_country_Brazil,applicant_country_Canada,applicant_country_China,applicant_country_France,applicant_country_Germany,applicant_country_India,applicant_country_Kenya,applicant_country_Nepal,applicant_country_Nigeria,applicant_country_Pakistan,applicant_country_Philippines,applicant_country_Saudi Arabia,applicant_country_South Africa,applicant_country_Sri Lanka,applicant_country_Turkey,applicant_country_UAE,applicant_country_United Kingdom,applicant_country_United States,visa_type_Employment,visa_type_Permanent Residency,visa_type_Skilled Migration,visa_type_Student,visa_type_Tourist,visa_type_Visit,visa_type_Work,processing_center_Berlin,processing_center_Delhi,processing_center_London,processing_center_New York,processing_center_Ottawa,processing_center_Singapore,processing_center_Sydney,season_Spring,season_Summer,season_Winter,country_avg_processing_time,visa_avg_processing_time,is_peak_season
Rejected,2023,63.0,4,4,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,72.05,125.86888888888889,0
Approved,2022,21.0,10,1,4,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,91.04530612244899,21.166666666666668,0
Approved,2024,83.0,11,2,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,83.74,64.710407239819,0
Approved,2024,15.0,9,4,3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,74.15217391304348,25.968503937007874,0
Approved,2024,271.7400000000001,5,3,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,78.82851851851852,125.86888888888889,0
Approved,2023,39.0,9,3,3,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,59.36585365853659,64.710407239819,0
Approved,2022,46.0,1,2,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,75.93181818181819,66.85123966942149,0
Rejected,2024,63.0,3,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,88.79054545454547,66.85123966942149,0
Approved,2024,20.0,11,5,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,84.68085106382979,21.166666666666668,0
Approved,2021,21.0,10,5,4,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,88.79054545454547,25.968503937007874,0
Approved,2023,18.0,7,5,3,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,83.74,21.166666666666668,1
Rejected,2023,27.0,3,6,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,84.24444444444444,25.968503937007874,0
Approved,2023,96.0,3,2,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,83.01923076923077,78.86776859504133,0
Approved,2022,93.0,3,3,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,83.01923076923077,64.710407239819,0
Approved,2023,147.0,3,5,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,92.36850000000001,189.96885496183208,0
Approved,2023,189.0,10,1,4,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,83.01923076923077,189.96885496183208,0
Approved,2021,50.0,8,6,3,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,70.17073170731707,64.710407239819,1
Approved,2022,154.0,11,4,4,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,84.24444444444444,125.86888888888889,0
Approved,2024,10.0,11,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,89.8695652173913,25.968503937007874,0
Approved,2021,47.0,10,6,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,83.94642857142857,189.96885496183208,0
Rejected,2021,54.0,5,5,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,84.68085106382979,64.710407239819,0
Approved,2021,24.0,5,1,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,84.24444444444444,64.710407239819,0
Approved,2022,83.0,12,5,4,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,74.15217391304348,64.710407239819,0
Rejected,2021,156.0,9,2,3,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,83.74,125.86888888888889,0
Approved,2021,61.0,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,92.36850000000001,78.86776859504133,0
Approved,2021,138.0,7,0,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,83.94642857142857,125.86888888888889,1
Approved,2023,30.0,6,2,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,59.36585365853659,64.710407239819,1
Approved,2021,105.0,1,3,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,59.36585365853659,64.710407239819,0
Approved,2021,37.0,8,6,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,83.94642857142857,64.710407239819,1
Approved,2021,183.0,4,1,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,86.09115384615384,189.96885496183208,0
Approved,2022,87.0,7,0,3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,89.8695652173913,78.86776859504133,1
Approved,2023,24.0,3,3,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,83.74,64.710407239819,0
Rejected,2023,18.0,12,6,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,84.68085106382979,25.968503937007874,0
Rejected,2021,11.0,12,5,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,83.47058823529412,64.710407239819,0
Rejected,2022,13.0,6,2,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,70.17073170731707,64.710407239819,1
Approved,2022,73.0,2,2,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,83.01923076923077,66.85123966942149,0
Rejected,2023,68.0,11,3,4,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,75.93181818181819,66.85123966942149,0
Approved,2022,37.0,1,5,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,84.68085106382979,64.710407239819,0
Approved,2021,81.0,5,4,2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,91.04530612244899,125.86888888888889,0
Approved,2022,78.0,9,4,3,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,86.09115384615384,78.86776859504133,0
Approved,2024,77.0,2,3,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,75.93181818181819,78.86776859504133,0
Approved,2024,50.0,3,5,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,78.82851851851852,78.86776859504133,0
Approved,2022,62.0,1,2,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,59.36585365853659,66.85123966942149,0
